date,optimizer,paper_title,paper_url,code_url,notes,origin
2026-03,HomeAdam,HomeAdam: Adam and AdamW Algorithms Sometimes Go Home to Obtain Better Provable Generalization,https://arxiv.org/abs/2603.02649,,Targets better provable generalization through revised second-moment estimation.,APRIL-AIGC/Awesome-Optimizer
2026-02,FlashOptim,FlashOptim: Optimizers for Memory-Efficient Training,https://arxiv.org/abs/2602.23349,,Reduces optimizer-state or training memory overhead through a lower-memory optimizer state.,APRIL-AIGC/Awesome-Optimizer
2026-02,DP-aware AdaLN-Zero,DP-aware AdaLN-Zero: Taming Conditioning-Induced Heavy-Tailed Gradients in Differentially Private Diffusion,https://arxiv.org/abs/2602.22610,,Improves privacy-preserving training under heavy-tailed gradients.,APRIL-AIGC/Awesome-Optimizer
2026-01,Spectral Sphere Optimizer (SSO),Controlled LLM Training on Spectral Sphere,https://arxiv.org/abs/2601.08393,https://github.com/Unakar/Spectral-Sphere-Optimizer,"Enforces spectral constraints on both weights and updates, improving stability and outperforming AdamW and Muon in reported LLM pretraining runs.",curated
2026-01,Ringleader ASGD,First Provably Optimal Asynchronous SGD for Homogeneous and Heterogeneous Data,https://arxiv.org/abs/2601.02523,,Improves asynchronous SGD with optimal-rate guarantees.,APRIL-AIGC/Awesome-Optimizer
2026-01,NOVAK,NOVAK: Unified adaptive optimizer for deep neural networks,https://arxiv.org/abs/2601.07876,,Combines adaptive and gradient-smoothing updates to stabilize deep-network optimization.,APRIL-AIGC/Awesome-Optimizer
2026-01,FANoS,FANoS: Friction-Adaptive Nos´e–Hoover Symplectic Momentum for Stiff Objectives,https://arxiv.org/pdf/2601.00889,,Improves optimization robustness and stability through damping-aware momentum.,APRIL-AIGC/Awesome-Optimizer
2026-01,DP-λCGD,DP-λCGD: Efficient Noise Correlation for Differentially Private Model Training,https://arxiv.org/abs/2601.22334,,Improves privacy-preserving training while accounting for privacy noise.,APRIL-AIGC/Awesome-Optimizer
2025-11,ROOT,ROOT: Robust Orthogonalized Optimizer for Neural Network Training,https://arxiv.org/abs/2511.20626,,Improves optimization robustness and stability with adaptive momentum updates.,APRIL-AIGC/Awesome-Optimizer
2025-11,HVAdam,HVAdam: A Full-Dimension Adaptive Optimizer,https://arxiv.org/abs/2511.20277,,Extends adaptive optimization beyond diagonal scaling through projected adaptive updates.,APRIL-AIGC/Awesome-Optimizer
2025-11,DP-MicroAdam,DP-MicroAdam: Private and Frugal Algorithm for Training and Fine-tuning,https://arxiv.org/abs/2511.20509,,Improves privacy-preserving training while accounting for privacy noise.,APRIL-AIGC/Awesome-Optimizer
2025-11,DP-AdamW-BC,DP-AdamW: Investigating Decoupled Weight Decay and Bias Correction in Private Deep Learning,https://arxiv.org/abs/2511.07843,,Improves privacy-preserving training while accounting for privacy noise.,APRIL-AIGC/Awesome-Optimizer
2025-11,AdamNX,AdamNX: An Adam improvement algorithm based on a novel exponential decay mechanism for the second-order moment estimate,https://arxiv.org/abs/2511.13465,,Improves adaptive step-size control through revised second-moment estimation.,APRIL-AIGC/Awesome-Optimizer
2025-10,FedMuon,FedMuon: Accelerating Federated Learning with Matrix Orthogonalization,https://arxiv.org/abs/2510.27403,,Improves optimization under federated heterogeneity and client drift with momentum-aware client aggregation.,APRIL-AIGC/Awesome-Optimizer
2025-09,AuON,AuON: A Linear-time Alternative to Orthogonal Momentum Updates,https://arxiv.org/abs/2509.24320,,Cuts the cost of orthogonalized momentum updates with layer-wise normalized updates.,APRIL-AIGC/Awesome-Optimizer
2025-08,ZetA,ZETA: A HYBRID OPTIMIZER COMBINING RIEMANN ZETA SCALING WITH ADAM FOR ROBUST DEEP LEARNING,https://arxiv.org/abs/2508.02719,,Improves optimization robustness and stability across multiple optimization objectives.,APRIL-AIGC/Awesome-Optimizer
2025-08,NIRMAL,COMPARATIVE ANALYSIS OF NOVEL NIRMAL OPTIMIZER AGAINST ADAM AND SGD WITH MOMENTUM,https://arxiv.org/abs/2508.04293,,Speeds up optimization with refined momentum dynamics across multiple optimization objectives.,APRIL-AIGC/Awesome-Optimizer
2025-08,DLAS-R-FTC,Distributed Optimization and Learning for Automated Stepsize Selection with Finite Time Coordination,https://arxiv.org/abs/2508.05887,,Reduces synchronization or communication overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-07,ZO-SAH,Subspace-based Approximate Hessian Method for Zeroth-Order Optimization,https://arxiv.org/abs/2507.06125,,Enables more efficient gradient-free optimization.,APRIL-AIGC/Awesome-Optimizer
2025-07,SoftSignSGD,SoftSignSGD(S3): An Enhanced Optimizer for Practical DNN Training and Loss Spikes Minimization Beyond Adam,https://arxiv.org/abs/2507.06464,,Reduces loss spikes and improves training stability through a hybrid adaptive update rule.,APRIL-AIGC/Awesome-Optimizer
2025-07,SCSAdamW,Beyond First-Order: Training LLMs with Stochastic Conjugate Subgradients and AdamW,https://arxiv.org/abs/2507.01241,,Improves optimization on sharp or ill-conditioned loss landscapes for large language model training.,APRIL-AIGC/Awesome-Optimizer
2025-07,S-BFGS,EFFICIENT STOCHASTIC BFGS METHODS INSPIRED BY BAYESIAN PRINCIPLES,https://arxiv.org/abs/2507.07729,,Uses preconditioning or curvature structure to improve convergence through stochastic quasi-Newton updates.,APRIL-AIGC/Awesome-Optimizer
2025-07,LyAm,LyAm: Robust Non-Convex Optimization for Stable Learning in Noisy Environments,https://arxiv.org/abs/2507.11262,,Improves optimization robustness and stability.,APRIL-AIGC/Awesome-Optimizer
2025-07,DOME,"Communication Efficient, Differentially Private Distributed Optimization using Correlation-Aware Sketching",https://arxiv.org/abs/2507.03545,,Cuts communication cost in private distributed optimization through sketching or low-rank compression.,APRIL-AIGC/Awesome-Optimizer
2025-07,DEO,Dimer-Enhanced Optimization: A First-Order Approach to Escaping Saddle Points in Neural Network Training,https://arxiv.org/abs/2507.19968,,Helps escape saddle points during training through curvature-aware landscape exploration.,APRIL-AIGC/Awesome-Optimizer
2025-07,Deco-SGD,DeCo-SGD: Joint Optimization of Delay Staleness and Gradient Compression Ratio for Distributed SGD,https://arxiv.org/abs/2507.17346,,Reduces synchronization or communication overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-07,adaNPAG,Boosting Accelerated Proximal Gradient Method with Adaptive Sampling for Stochastic Composite Optimization *,https://arxiv.org/abs/2507.18277,,Speeds up stochastic composite optimization with accelerated proximal-gradient updates.,APRIL-AIGC/Awesome-Optimizer
2025-07,AdaMuon,ADAMUON: ADAPTIVE MUON OPTIMIZER,https://arxiv.org/abs/2507.11005,,Improves adaptive step-size control through a hybrid adaptive update rule.,APRIL-AIGC/Awesome-Optimizer
2025-07,Accelerated GRAAL,NESTEROV FINDS GRAAL: OPTIMAL AND ADAPTIVE GRADIENT METHOD FOR CONVEX OPTIMIZATION,https://arxiv.org/abs/2507.09823,,Combines complementary update strategies across multiple optimization objectives.,APRIL-AIGC/Awesome-Optimizer
2025-06,VR-SZD,A Structured Proximal Stochastic Variance Reduced Zeroth-order Algorithm,https://arxiv.org/abs/2506.23758,,Enables more efficient gradient-free optimization.,APRIL-AIGC/Awesome-Optimizer
2025-06,TAH-QUANT,TAH-QUANT: Effective Activation Quantization in Pipeline Parallelism over Slow Network,https://arxiv.org/abs/2506.01352,,Reduces activation-transfer cost in slow-network pipeline training through quantized communication or state compression.,APRIL-AIGC/Awesome-Optimizer
2025-06,SPlus,A Stable Whitening Optimizer for Efficient Neural Network Training,https://arxiv.org/abs/2506.07254,https://github.com/kvfrans/splus,Uses stable whitening-style preconditioning to cut both gradient steps and wall-clock time in reported transformer training runs.,curated
2025-06,pFedSOP,pFedSOP : Accelerating Training Of Personalized Federated Learning Using Second-Order Optimization,https://arxiv.org/abs/2506.07159,,Improves optimization under federated heterogeneity and client drift with curvature-aware client updates.,APRIL-AIGC/Awesome-Optimizer
2025-06,NYSACT,NYSACT: A SCALABLE PRECONDITIONED GRADIENT DESCENT USING NYSTRÖM APPROXIMATION,https://arxiv.org/abs/2506.08360,,Uses preconditioning or curvature structure to improve convergence.,APRIL-AIGC/Awesome-Optimizer
2025-06,MAC,MAC: AN EFFICIENT GRADIENT PRECONDITIONING USING MEAN ACTIVATION APPROXIMATED CURVATURE,https://arxiv.org/abs/2506.08464,,Uses preconditioning or curvature structure to improve convergence.,APRIL-AIGC/Awesome-Optimizer
2025-06,LQ-SGD,Trustworthy Efficient Communication for Distributed Learning using LQ-SGD Algorithm,https://arxiv.org/abs/2506.17974,,Reduces synchronization or communication overhead in distributed training through quantized communication or state compression.,APRIL-AIGC/Awesome-Optimizer
2025-06,HGM,Hindsight-Guided Momentum (HGM) Optimizer: An Approach to Adaptive Learning Rates,https://arxiv.org/abs/2506.22479,,Improves adaptive step-size control using gradient-angle-based scheduling.,APRIL-AIGC/Awesome-Optimizer
2025-06,FZOO,FZOO: Fast Zeroth-Order Optimizer for Fine-Tuning Large Language Models towards Adam-Scale Speed,https://arxiv.org/abs/2506.09034,,Enables more efficient gradient-free optimization for large language model training.,APRIL-AIGC/Awesome-Optimizer
2025-06,FedOne,FedOne: Query-Efficient Federated Learning for Black-box Discrete Prompt Learning,https://arxiv.org/abs/2506.14929,,Improves optimization under federated heterogeneity and client drift.,APRIL-AIGC/Awesome-Optimizer
